Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

 4.222	 7.680
 4.218	 7.683
 4.215	 7.690
 4.211	 7.696
 4.208	 7.698
 4.205	 7.698
 4.201	 7.699
 4.198	 7.699
 4.194	 7.704
 4.191	 7.709
 4.188	 7.707
 4.184	 7.712
 4.181	 7.716
 4.177	 7.715
 4.174	 7.716
 4.171	 7.717
 4.167	 7.717
 4.164	 7.718
 4.161	 7.718
 4.157	 7.720
 4.154	 7.727
 4.151	 7.726
 4.147	 7.726
 4.144	 7.728
 4.141	 7.727
 4.137	 7.729
 4.134	 7.735
 4.131	 7.739
 4.128	 7.738
 4.124	 7.735
 4.121	 7.746
 4.118	 7.752
 4.114	 7.749
 4.111	 7.743
 4.108	 7.745
 4.105	 7.741
 4.101	 7.742
 4.098	 7.757
 4.095	 7.757
 4.092	 7.749
 4.088	 7.751
 4.085	 7.749
 4.082	 7.751
 4.079	 7.750
 4.076	 7.758
 4.072	 7.765
 4.069	 7.762
 4.066	 7.761
 4.063	 7.760
 4.060	 7.757
 4.056	 7.762
 4.053	 7.772
 4.050	 7.772
 4.047	 7.773
 4.044	 7.776
 4.041	 7.777
 4.037	 7.777
 4.034	 7.779
 4.031	 7.782
 4.028	 7.777
 4.025	 7.779
 4.022	 7.779
 4.019	 7.777
 4.016	 7.782
 4.013	 7.783
 4.009	 7.778
 4.006	 7.773
 4.003	 7.774
 4.000	 7.776
 3.997	 7.779
 3.994	 7.784
 3.991	 7.779
 3.988	 7.769
 3.985	 7.775
 3.982	 7.783
 3.979	 7.780
 3.976	 7.778
 3.973	 7.777
 3.970	 7.782
 3.966	 7.784
 3.963	 7.780
 3.960	 7.783
 3.957	 7.782
 3.954	 7.775
 3.951	 7.770
 3.948	 7.770
 3.945	 7.773
 3.942	 7.778
 3.939	 7.774
 3.936	 7.777
 3.933	 7.776
 3.930	 7.775
 3.927	 7.776
 3.924	 7.776
 3.921	 7.769
 3.918	 7.763
 3.916	 7.764
 3.913	 7.764
 3.910	 7.765
 3.907	 7.762
 3.904	 7.760
 3.901	 7.759
 3.898	 7.759
 3.895	 7.757
 3.892	 7.753
 3.889	 7.756
 3.886	 7.761
 3.883	 7.756
 3.880	 7.746
 3.877	 7.745
 3.875	 7.746
 3.872	 7.741
 3.869	 7.736
 3.866	 7.742
 3.863	 7.749
 3.860	 7.740
 3.857	 7.733
 3.854	 7.733
 3.852	 7.730
 3.849	 7.729
 3.846	 7.733
 3.843	 7.726
 3.840	 7.721
 3.837	 7.724
 3.834	 7.725
 3.832	 7.716
 3.829	 7.718
 3.826	 7.720
 3.823	 7.720
 3.820	 7.720
 3.817	 7.715
 3.815	 7.705
 3.812	 7.700
 3.809	 7.701
 3.806	 7.695
 3.804	 7.691
 3.801	 7.695
 3.798	 7.696
 3.795	 7.692
 3.792	 7.687
 3.790	 7.691
 3.787	 7.690
 3.784	 7.684
 3.781	 7.678
 3.779	 7.673
 3.776	 7.670
 3.773	 7.676
 3.770	 7.679
 3.768	 7.670
 3.765	 7.660
 3.762	 7.659
 3.759	 7.662
 3.757	 7.657
 3.754	 7.653
 3.751	 7.648
 3.748	 7.649
 3.746	 7.647
 3.743	 7.649
 3.740	 7.647
 3.738	 7.635
 3.735	 7.630
 3.732	 7.626
 3.730	 7.625
 3.727	 7.623
 3.724	 7.617
