Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

 4.147	18.410
 4.144	18.578
 4.141	18.747
 4.137	18.932
 4.134	19.106
 4.131	19.308
 4.128	19.539
 4.124	19.748
 4.121	19.950
 4.118	20.170
 4.114	20.427
 4.111	20.689
 4.108	20.935
 4.105	21.185
 4.101	21.452
 4.098	21.707
 4.095	21.951
 4.092	22.201
 4.088	22.444
 4.085	22.674
 4.082	22.871
 4.079	23.061
 4.076	23.229
 4.072	23.380
 4.069	23.522
 4.066	23.628
 4.063	23.688
 4.060	23.729
 4.056	23.767
 4.053	23.784
 4.050	23.790
 4.047	23.785
 4.044	23.730
 4.041	23.679
 4.037	23.656
 4.034	23.603
 4.031	23.555
 4.028	23.527
 4.025	23.485
 4.022	23.444
 4.019	23.423
 4.016	23.422
 4.013	23.434
 4.009	23.413
 4.006	23.429
 4.003	23.488
 4.000	23.537
 3.997	23.609
 3.994	23.702
 3.991	23.804
 3.988	23.920
 3.985	24.052
 3.982	24.203
 3.979	24.366
 3.976	24.534
 3.973	24.710
 3.970	24.884
 3.966	25.047
 3.963	25.234
 3.960	25.443
 3.957	25.658
 3.954	25.854
 3.951	26.037
 3.948	26.207
 3.945	26.396
 3.942	26.577
 3.939	26.737
 3.936	26.870
 3.933	26.996
 3.930	27.126
 3.927	27.218
 3.924	27.252
 3.921	27.290
 3.918	27.328
 3.916	27.337
 3.913	27.290
 3.910	27.255
 3.907	27.204
 3.904	27.115
 3.901	27.011
 3.898	26.895
 3.895	26.762
 3.892	26.634
 3.889	26.509
 3.886	26.362
 3.883	26.201
 3.880	26.056
 3.877	25.912
 3.875	25.785
 3.872	25.677
 3.869	25.578
 3.866	25.482
 3.863	25.408
 3.860	25.375
 3.857	25.346
 3.854	25.315
 3.852	25.297
 3.849	25.301
 3.846	25.329
 3.843	25.391
 3.840	25.467
 3.837	25.520
 3.834	25.589
 3.832	25.674
 3.829	25.775
 3.826	25.901
 3.823	25.989
 3.820	26.061
 3.817	26.127
 3.815	26.231
 3.812	26.322
 3.809	26.373
 3.806	26.412
 3.804	26.445
 3.801	26.455
 3.798	26.443
 3.795	26.395
 3.792	26.343
 3.790	26.285
 3.787	26.217
 3.784	26.149
 3.781	26.028
 3.779	25.887
 3.776	25.771
 3.773	25.663
 3.770	25.517
 3.768	25.363
 3.765	25.228
 3.762	25.098
 3.759	24.980
